reservation_datetime,heure,heure_int,minute,jour_semaine,season,ville,gouvernorat,zone_type,latitude,longitude,population,intensite_ville,has_beach,beach_name,periode,cause_circulation,weather_code,weathercode_raw,weather_label,weather_mult,temperature_2m,precipitation,rain,windspeed_10m,visibility,sunrise,sunset,trafic_niveau,trafic_label,demande,indice_congestion,retard_estime_min,vitesse_moy_kmh,chauffeurs_actifs,is_night,is_ramadan_slot,is_friday_slot,is_school_slot,is_prayer_slot,is_beach_hour,beach_peak_reason,beach_surge_applied,beach_surge_value,surge_multiplier
2026-04-01 09:45:05,00:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,50,1,37,44,0,0,0,0,0,0,none,0,1.0,1.43
2026-04-01 09:45:05,00:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,43,3,36,45,0,0,0,0,0,0,none,0,1.0,1.331
2026-04-01 09:45:05,01:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,49,3,37,44,0,0,0,0,0,0,none,0,1.0,1.363
2026-04-01 09:45:05,01:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,52,5,40,42,0,0,0,0,0,0,none,0,1.0,1.489
2026-04-01 09:45:05,02:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,49,2,39,46,0,0,0,0,0,0,none,0,1.0,1.313
2026-04-01 09:45:05,02:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,suhoor_restaurants,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,44,5,36,44,0,0,0,0,0,0,none,0,1.0,1.387
2026-04-01 09:45:05,03:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,46,3,40,42,0,0,0,0,0,0,none,0,1.0,1.35
2026-04-01 09:45:05,03:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,44,5,40,45,0,0,0,0,0,0,none,0,1.0,1.314
2026-04-01 09:45:05,04:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,46,4,41,45,0,0,0,0,0,0,none,0,1.0,1.338
2026-04-01 09:45:05,04:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,46,1,40,43,0,0,0,0,0,0,none,0,1.0,1.319
2026-04-01 09:45:05,05:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,46,1,40,45,0,0,0,0,0,0,none,0,1.0,1.317
2026-04-01 09:45:05,05:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,45,0,39,42,0,0,0,0,0,0,none,0,1.0,1.395
2026-04-01 09:45:05,06:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,62,7,26,97,0,0,0,0,0,0,none,0,1.0,1.53
2026-04-01 09:45:05,06:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,66,8,26,100,0,0,0,0,0,0,none,0,1.0,1.565
2026-04-01 09:45:05,06:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,début_journée_travail,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,66,5,25,97,0,0,0,0,0,0,none,0,1.0,1.79
2026-04-01 09:45:05,06:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,début_journée_travail,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,61,5,25,99,0,0,0,0,0,0,none,0,1.0,1.67
2026-04-01 09:45:05,07:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,90,19,15,99,0,0,0,0,0,0,none,0,1.0,2.409
2026-04-01 09:45:05,07:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,94,23,15,97,0,0,0,0,0,0,none,0,1.0,2.451
2026-04-01 09:45:05,07:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,90,19,16,97,0,0,0,0,0,0,none,0,1.0,2.291
2026-04-01 09:45:05,07:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,surge,59,2,37,100,0,0,0,0,0,0,none,0,1.0,2.139
2026-04-01 09:45:05,08:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,86,22,13,99,0,0,0,0,0,0,none,0,1.0,2.187
2026-04-01 09:45:05,08:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,92,23,12,97,0,0,0,0,0,0,none,0,1.0,2.371
2026-04-01 09:45:05,08:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,3,élevé,surge,93,22,16,100,0,0,0,0,0,0,none,0,1.0,2.428
2026-04-01 09:45:05,08:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,surge,66,3,37,97,0,0,0,0,0,0,none,0,1.0,2.354
2026-04-01 09:45:05,09:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_rush_entrée_bureau,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,65,9,22,101,0,0,0,0,0,0,none,0,1.0,1.826
2026-04-01 09:45:05,09:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_rush_entrée_bureau,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,65,8,23,100,0,0,0,0,0,0,none,0,1.0,1.854
2026-04-01 09:45:05,09:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_rush_entrée_bureau,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,67,6,21,97,0,0,0,0,0,0,none,0,1.0,1.881
2026-04-01 09:45:05,09:45,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,fin_rush_entrée_bureau,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,2,modéré,rush,76,9,27,97,0,0,0,0,0,0,none,0,1.0,2.109
2026-04-01 09:45:05,10:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,52,5,38,100,0,0,0,0,0,0,none,0,1.0,1.641
2026-04-01 09:45:05,10:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,54,3,36,101,0,0,0,0,0,0,none,0,1.0,1.607
2026-04-01 09:45:05,11:00,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,48,4,40,97,0,0,0,0,0,0,none,0,1.0,1.443
2026-04-01 09:45:05,11:15,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,54,5,35,97,0,0,0,0,0,0,none,0,1.0,1.619
2026-04-01 09:45:05,11:30,9,45,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,préparation_prière_vendredi,2,61,pluie,1.1,10.9,0.4,0.4,14.7,36460.0,06:04,18:41,1,faible,normal,50,5,37,97,0,0,0,0,0,0,none,0,1.0,1.684
