ville,gouvernorat,zone_type,latitude,longitude,population,intensite_ville,has_beach,beach_name,heure,heure_int,minute,periode,cause_circulation,trafic_niveau,trafic_label,demande,is_night,is_ramadan_slot,is_friday_slot,is_school_slot,is_prayer_slot,is_beach_hour,beach_peak_reason,beach_surge_applied,beach_surge_value,surge_multiplier,indice_congestion,retard_estime_min,vitesse_moy_kmh,chauffeurs_actifs
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,00:00,0,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.43,50,1,37,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,00:30,0,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.331,43,3,36,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,01:00,1,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.363,49,3,37,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,01:30,1,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.489,52,5,40,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,02:00,2,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.313,49,2,39,46
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,02:30,2,30,ramadan_suhoor,suhoor_restaurants,1,faible,normal,1,1,0,0,0,0,,0,1.0,1.387,44,5,36,44
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,03:00,3,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.35,46,3,40,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,03:30,3,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.314,44,5,40,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,04:00,4,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.338,46,4,41,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,04:30,4,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.319,46,1,40,43
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,05:00,5,0,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.317,46,1,40,45
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,05:30,5,30,circulation_normale,flux_habituel,1,faible,normal,1,0,0,0,0,0,,0,1.0,1.395,45,0,39,42
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,06:00,6,0,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.53,62,7,26,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,06:15,6,15,circulation_normale,flux_habituel,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.565,66,8,26,100
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,06:30,6,30,rush_matin,début_journée_travail,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.79,66,5,25,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,06:45,6,45,rush_matin,début_journée_travail,2,modéré,rush,0,0,0,0,0,0,,0,1.0,1.67,61,5,25,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,07:00,7,0,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.409,90,19,15,99
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,07:15,7,15,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.451,94,23,15,97
Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,07:30,7,30,rush_matin_peak,pic_absolu_matin,3,élevé,surge,0,0,0,0,0,0,,0,1.0,2.291,90,19,16,97
